addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x01F2AcF2914860331C1Cb1a9AcecDa7475e06Af8,approveProxy-keccak256,,,,,,_
0x041B3eb05560Ba2670DEF3Cc5eeC2AeEF8e5D14b,approveProxy-keccak256,,,,,,_
0x3AC6cb00f5a44712022a51fbace4C7497F56eE31,approveProxy-keccak256,,,,,,_
0x43eE79e379e7b78D871100ed696e803E7893b644,approveProxy-keccak256,,,,,,_
0x55F93985431Fc9304077687a35A1BA103dC1e081,approveProxy-keccak256,SmartMesh Token,SMT,@Gate.io@HitBTC@Huobi@OKEx@YoBit,3141592653,18,_
0x60BE37DAcb94748A12208a7Ff298F6112365E31F,approveProxy-keccak256,,,,,,_
0x8feBf7551EeA6Ce499F96537Ae0e2075c5A7301a,approveProxy-keccak256,,,,,,_
0x9E88770DA20ebea0Df87aD874c2F5cf8ab92f605,approveProxy-keccak256,,,,,,_
0xF20b76Ed9d5467fDcDc1444455e303257d2827c7,approveProxy-keccak256,,,,,,_
0xFbb7b2295aB9f987a9F7BD5ba6c9DE8EE762deB8,approveProxy-keccak256,,,,,,_
